,accuracy,precision,recall,roc_auc,specificity,npv,ppv
BernoulliNB,0.92,0.6285714285714286,0.88,0.9028571428571428,0.9257142857142857,0.9818181818181818,0.6285714285714286
DecisionTreeClassifier,0.935,0.8333333333333334,0.6,0.7914285714285715,0.9828571428571429,0.945054945054945,0.8333333333333334
SVC,0.955,0.9444444444444444,0.68,0.8371428571428573,0.9942857142857143,0.9560439560439561,0.9444444444444444
QuadraticDiscriminantAnalysis,0.925,0.6923076923076923,0.72,0.8371428571428571,0.9542857142857143,0.9597701149425287,0.6923076923076923
XGBClassifier,0.96,0.8695652173913043,0.8,0.8914285714285715,0.9828571428571429,0.9717514124293786,0.8695652173913043
DenseNeuralNet,0.96,1.0,0.68,0.8400000000000001,1.0,0.9562841530054644,1.0
